--------- beginning of crash
F/libc    (29974): Fatal signal 11 (SIGSEGV), code 1, fault addr 0x7f859072f4 in tid 29985 (Binder_2)
--------- beginning of system
V/WindowManager(  451): Layouts looping: loop number 5, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: after finishPostLayoutPolicyLw, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: wallpaper and commitFinishDrawingLocked true, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: WallpaperMayChange, mPendingLayoutChanges = 0x4
E/WindowManager(  451): Performed 6 layouts in a row. Skipping
V/WindowManager(  451): Layouts looping: On entry to LockedInner, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: loop number 4, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: after finishPostLayoutPolicyLw, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: wallpaper and commitFinishDrawingLocked true, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: WallpaperMayChange, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: On entry to LockedInner, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: loop number 5, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: after finishPostLayoutPolicyLw, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: wallpaper and commitFinishDrawingLocked true, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: WallpaperMayChange, mPendingLayoutChanges = 0x4
E/WindowManager(  451): Performed 6 layouts in a row. Skipping
V/WindowManager(  451): Layouts looping: On entry to LockedInner, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: loop number 4, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: after finishPostLayoutPolicyLw, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: wallpaper and commitFinishDrawingLocked true, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: WallpaperMayChange, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: On entry to LockedInner, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: loop number 5, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: after finishPostLayoutPolicyLw, mPendingLayoutChanges = 0x0
V/WindowManager(  451): Layouts looping: wallpaper and commitFinishDrawingLocked true, mPendingLayoutChanges = 0x4
V/WindowManager(  451): Layouts looping: WallpaperMayChange, mPendingLayoutChanges = 0x4
E/WindowManager(  451): Performed 6 layouts in a row. Skipping
I/ActivityManager(  451): Start proc 11239:com.android.chrome:sandboxed_process0/u0i314 for service com.android.chrome/org.chromium.content.app.SandboxedProcessService0
V/WindowManager(  451): Adding window Window{1a728439 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity} at 3 of 18 (before Window{1fbc52a u0 Starting com.android.chrome})
V/WindowManager(  451): Adding window Window{1c9a8c51 u0 SurfaceView} at 3 of 19 (before Window{1a728439 u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity})
W/InputMethodManagerService(  451): Got RemoteException sending setActive(false) notification to pid 10448 uid 10035
I/ActivityManager(  451): Start proc 11281:com.android.chrome:privileged_process0/u0a35 for service com.android.chrome/org.chromium.content.app.PrivilegedProcessService0
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=314, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): apparently satisfied.  currentScore=60
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=315, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): apparently satisfied.  currentScore=60
V/WindowManager(  451): not Base app: Adding window Window{1ad49d4c u0 com.android.chrome/org.chromium.chrome.browser.ChromeTabbedActivity} at 5 of 19
D/TaskPersister(  451): removeObsoleteFile: deleting file=3352_task.xml
D/TaskPersister(  451): removeObsoleteFile: deleting file=3352_task_thumbnail.png
I/ProcessStatsService(  451): Prepared write state in 6ms
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 112] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 112] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 112]
D/ConnectivityService(  451): NetworkAgentInfo [WIFI () - 112] EVENT_NETWORK_INFO_CHANGED, going from CONNECTED to CONNECTING
