App,Package,Start Time,Duration,Filename
"System",,"Jun 17, 2018 @ 05:15:23 PM","1 min 3 sec","Trepn_2018.06.17_171522.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
2,1,2,167718,0,2295000,1,2295000,0,0,2,12,
47,1,109,861451,108,1734000,109,1734000,108,0,109,100,
109,1,210,775306,208,1734000,209,1734000,209,0,210,90,
210,1,311,689160,310,1734000,310,1734000,310,0,311,80,
311,1,411,775306,410,1734000,411,1734000,410,0,411,90,
411,1,511,861451,510,1734000,511,1734000,510,0,511,100,
511,1,612,861451,611,1734000,611,1734000,611,0,612,100,
612,1,712,1397655,711,2295000,711,2295000,711,0,712,100,
712,1,812,1188106,811,2091000,812,2091000,812,0,812,100,
813,1,913,861451,912,1734000,912,1734000,912,0,913,100,
913,1,1015,861451,1013,1734000,1014,1734000,1013,0,1014,100,
1015,1,1115,861451,1113,1734000,1114,1734000,1114,0,1115,100,
1115,1,1215,1397655,1214,2295000,1214,2295000,1214,0,1215,100,
1215,1,1316,861451,1314,1734000,1315,1734000,1315,0,1316,100,
1316,1,1416,1397655,1414,2295000,1415,2295000,1415,0,1416,100,
1416,1,1516,1257889,1515,2295000,1516,2295000,1515,0,1516,90,
1516,1,1619,949579,1617,1836000,1618,1836000,1618,0,1619,100,
1619,1,1718,861451,1717,1734000,1717,1734000,1717,0,1718,100,
1718,1,1827,949579,1825,1836000,1826,1836000,1826,0,1827,100,
1827,1,1927,949579,1926,1836000,1926,1836000,1926,0,1927,100,
1927,1,2027,1397655,2026,2295000,2027,2295000,2026,0,2027,100,
2027,1,2127,1397655,2126,2295000,2127,2295000,2126,0,2127,100,
2127,1,2227,1135903,2226,2193000,2227,2193000,2227,0,2227,88,
2228,1,2328,1076194,2327,2295000,2327,2295000,2327,0,2328,77,
2328,1,2428,1397655,2427,2295000,2428,2295000,2427,0,2428,100,
2428,1,2529,1397655,2528,2295000,2528,2295000,2528,0,2528,100,
2529,1,2629,854621,2628,1836000,2628,1836000,2628,0,2629,90,
2629,1,2733,775306,2728,1734000,2729,1734000,2728,0,2730,90,
2733,1,2832,689160,2828,1734000,2829,1734000,2829,0,2832,80,
2832,1,2935,861451,2929,1734000,2930,1734000,2929,0,2933,100,
2935,1,3031,542714,3029,1734000,3030,1734000,3030,0,3031,63,
3031,1,3131,387653,3130,1734000,3130,1734000,3130,0,3131,45,
3131,1,3232,344580,3230,1734000,3231,1734000,3230,0,3231,40,
3232,1,3332,488375,3331,1530000,3331,1530000,3331,0,3332,70,
3332,1,3432,461226,3431,2295000,3432,2295000,3431,0,3432,33,
3432,1,3533,978358,3531,2295000,3532,2295000,3532,0,3532,70,
3533,1,3633,1397655,3632,2295000,3632,2295000,3632,0,3633,100,
3633,1,3733,1397655,3732,2295000,3732,2295000,3732,0,3733,100,
3733,1,3833,1257889,3832,2295000,3833,2295000,3832,0,3833,90,
3833,1,3934,1397655,3933,2295000,3933,2295000,3933,0,3934,100,
3934,1,4034,461226,4033,2295000,4033,2295000,4033,0,4034,33,
4034,1,4134,349413,4133,2295000,4133,2295000,4133,0,4134,25,
4134,1,4234,1397655,4233,2295000,4234,2295000,4234,0,4234,100,
4234,1,4335,838593,4334,2295000,4334,2295000,4334,0,4335,60,
4335,1,4435,279531,4434,2295000,4434,2295000,4434,0,4435,20,
4435,1,4536,0,4534,2295000,4535,2295000,4535,0,4536,0,
4536,1,4636,0,4635,2295000,4636,2295000,4635,0,4636,0,
4636,1,4737,0,4736,2295000,4736,2295000,4736,0,4737,0,
4737,1,4837,0,4836,2295000,4836,2295000,4836,0,4837,0,
4837,1,4937,0,4936,2295000,4936,2295000,4936,0,4937,0,
4937,1,5038,0,5037,2295000,5037,2295000,5037,0,5038,0,
5038,1,5137,419296,5136,2295000,5137,2295000,5137,0,5137,30,
5137,1,5242,307484,5241,2295000,5241,2295000,5241,0,5242,22,
5242,1,5342,153742,5341,2295000,5341,2295000,5341,0,5342,11,
5342,1,5443,0,5441,1428000,5442,1428000,5442,0,5443,0,
5443,1,5544,0,5542,1428000,5543,1428000,5542,0,5544,0,
5544,1,5644,0,5643,1428000,5643,1428000,5643,0,5644,0,
5644,1,5744,0,5743,1428000,5743,1428000,5743,0,5744,0,
5744,1,5845,418607,5843,1530000,5844,1530000,5844,0,5845,60,
5845,1,5946,0,5944,1428000,5945,1428000,5944,0,5945,0,
5946,1,6047,0,6045,1428000,6046,1428000,6045,0,6046,0,
6047,1,6146,62203,6145,1428000,6146,1428000,6145,0,6146,10,
6147,1,6248,62203,6246,1428000,6246,1428000,6246,0,6247,10,
6248,1,6350,124407,6348,1428000,6349,1428000,6349,0,6350,20,
6350,1,6450,69768,6448,1530000,6449,1530000,6449,0,6450,10,
6450,1,6550,0,6549,1428000,6549,1428000,6549,0,6550,0,
6550,1,6651,0,6649,1428000,6650,1428000,6650,0,6651,0,
6651,1,6751,516870,6750,1734000,6750,1734000,6750,0,6751,60,
6751,1,6852,68424,6850,1428000,6851,1428000,6850,0,6852,11,
6852,1,6952,0,6950,1530000,6951,1530000,6951,0,6952,0,
6952,1,7053,0,7051,1428000,7052,1428000,7051,0,7052,0,
7053,1,7153,62203,7151,1428000,7152,1428000,7152,0,7153,10,
7153,1,7253,0,7252,1428000,7252,1428000,7252,0,7253,0,
7253,1,7353,139536,7352,1530000,7353,1530000,7353,0,7353,20,
7354,1,7455,0,7453,1428000,7454,1428000,7453,0,7455,0,
7455,1,7555,0,7554,1428000,7554,1428000,7554,0,7555,0,
7555,1,7656,111966,7654,1428000,7655,1428000,7655,0,7656,18,
7656,1,7756,55983,7755,1428000,7756,1428000,7755,0,7756,9,
7756,1,7857,663317,7856,1734000,7856,1734000,7856,0,7857,77,
7857,1,7957,0,7956,1428000,7956,1428000,7956,0,7957,0,
7957,1,8058,0,8057,1428000,8057,1428000,8057,0,8058,0,
8059,1,8158,0,8157,1428000,8158,1428000,8157,0,8158,0,
8159,1,8259,0,8258,1428000,8258,1428000,8258,0,8259,0,
8259,1,8360,69768,8358,1530000,8359,1530000,8359,0,8360,10,
8360,1,8460,62203,8459,1428000,8459,1428000,8459,0,8460,10,
8460,1,8560,0,8559,1428000,8559,1428000,8559,0,8560,0,
8560,1,8660,0,8659,1428000,8659,1428000,8659,0,8660,0,
8660,1,8760,0,8759,1428000,8760,1428000,8759,0,8760,0,
8760,1,8861,55983,8860,1428000,8860,1428000,8860,0,8861,9,
