App,Package,Start Time,Duration,Filename
"System",,"Jun 19, 2018 @ 07:35:48 PM","1 min 4 sec","Trepn_2018.06.19_193548.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
5,1,5,237601,0,2295000,3,2295000,0,0,5,17,
51,1,51,1397655,50,2295000,50,2295000,50,0,51,100,
52,1,153,1397655,152,2295000,153,2295000,152,0,153,100,
153,1,253,1397655,251,2295000,252,2295000,252,0,253,100,
253,1,353,1397655,352,2295000,352,2295000,352,0,353,100,
353,1,453,1188106,452,2091000,453,2091000,452,0,453,100,
453,1,641,1397655,553,2295000,553,2295000,553,0,641,100,
641,1,654,1397655,653,2295000,653,2295000,653,0,654,100,
654,1,754,1397655,753,2295000,753,2295000,753,0,754,100,
754,1,855,1397655,853,2295000,854,2295000,854,0,854,100,
855,1,955,1397655,954,2295000,954,2295000,954,0,955,100,
955,1,1056,1397655,1054,2295000,1055,2295000,1054,0,1056,100,
1056,1,1159,1397655,1158,2295000,1158,2295000,1158,0,1159,100,
1160,1,1259,1397655,1258,2295000,1259,2295000,1258,0,1259,100,
1259,1,1360,1397655,1358,2295000,1359,2295000,1359,0,1360,100,
1360,1,1460,1397655,1459,2295000,1459,2295000,1459,0,1460,100,
1460,1,1560,1397655,1559,2295000,1560,2295000,1560,0,1560,100,
1560,1,1661,1397655,1660,2295000,1660,2295000,1660,0,1661,100,
1661,1,1763,1397655,1762,2295000,1762,2295000,1762,0,1763,100,
1763,1,1864,1397655,1862,2295000,1863,2295000,1862,0,1864,100,
1864,1,1964,1397655,1963,2295000,1963,2295000,1963,0,1964,100,
1964,1,2065,1397655,2064,2295000,2064,2295000,2064,0,2065,100,
2065,1,2167,1397655,2164,2295000,2165,2295000,2164,0,2167,100,
2167,1,2270,1397655,2269,2295000,2269,2295000,2269,0,2270,100,
2270,1,2370,1397655,2369,2295000,2369,2295000,2369,0,2370,100,
2370,1,2471,1397655,2469,2295000,2470,2295000,2469,0,2471,100,
2471,1,2571,1397655,2570,2295000,2570,2295000,2570,0,2571,100,
2571,1,2672,1397655,2671,2295000,2672,2295000,2671,0,2672,100,
2672,1,2773,1397655,2771,2295000,2772,2295000,2772,0,2772,100,
2773,1,2873,1397655,2872,2295000,2872,2295000,2872,0,2873,100,
2873,1,2973,1397655,2972,2295000,2972,2295000,2972,0,2973,100,
2973,1,3073,1397655,3072,2295000,3072,2295000,3072,0,3073,100,
3073,1,3174,1397655,3173,2295000,3173,2295000,3173,0,3174,100,
3174,1,3274,1397655,3273,2295000,3273,2295000,3273,0,3274,100,
3274,1,3374,1397655,3373,2295000,3373,2295000,3373,0,3374,100,
3374,1,3475,1397655,3473,2295000,3474,2295000,3474,0,3474,100,
3475,1,3575,1397655,3574,2295000,3574,2295000,3574,0,3575,100,
3575,1,3675,1397655,3674,2295000,3674,2295000,3674,0,3675,100,
3675,1,3775,1397655,3774,2295000,3775,2295000,3775,0,3775,100,
3775,1,3876,1397655,3874,2295000,3875,2295000,3875,0,3875,100,
3876,1,3976,1397655,3975,2295000,3975,2295000,3975,0,3976,100,
3976,1,4076,1397655,4075,2295000,4075,2295000,4075,0,4076,100,
4076,1,4186,1397655,4185,2295000,4185,2295000,4185,0,4186,100,
4186,1,4286,1397655,4285,2295000,4286,2295000,4286,0,4286,100,
4286,1,4387,1397655,4386,2295000,4386,2295000,4386,0,4387,100,
4387,1,4494,1397655,4493,2295000,4493,2295000,4493,0,4494,100,
4494,1,4595,1397655,4594,2295000,4594,2295000,4594,0,4595,100,
4595,1,4696,1397655,4695,2295000,4695,2295000,4695,0,4696,100,
4696,1,4796,1397655,4795,2295000,4796,2295000,4796,0,4796,100,
4796,1,4897,1397655,4896,2295000,4896,2295000,4896,0,4897,100,
4897,1,4997,1397655,4996,2295000,4996,2295000,4996,0,4997,100,
4997,1,5097,1397655,5096,2295000,5097,2295000,5097,0,5097,100,
5097,1,5197,1397655,5196,2295000,5197,2295000,5197,0,5197,100,
5197,1,5298,1397655,5297,2295000,5297,2295000,5297,0,5298,100,
5298,1,5398,1397655,5397,2295000,5397,2295000,5397,0,5398,100,
5398,1,5499,1397655,5498,2295000,5498,2295000,5498,0,5499,100,
5499,1,5605,1397655,5604,2295000,5604,2295000,5604,0,5605,100,
5605,1,5705,1397655,5704,2295000,5704,2295000,5704,0,5705,100,
5705,1,5805,1397655,5804,2295000,5805,2295000,5804,0,5805,100,
5805,1,5906,1397655,5904,2295000,5905,2295000,5905,0,5905,100,
5906,1,6007,1397655,6005,2295000,6006,2295000,6005,0,6007,100,
6007,1,6106,1397655,6105,2295000,6105,2295000,6105,0,6106,100,
6106,1,6206,1397655,6205,2295000,6206,2295000,6206,0,6206,100,
6207,1,6307,1397655,6306,2295000,6306,2295000,6306,0,6307,100,
6307,1,6407,1397655,6406,2295000,6406,2295000,6406,0,6407,100,
6407,1,6507,1397655,6506,2295000,6507,2295000,6506,0,6507,100,
6507,1,6608,1397655,6606,2295000,6607,2295000,6607,0,6608,100,
6608,1,6709,1397655,6707,2295000,6707,2295000,6707,0,6709,100,
6709,1,6809,1397655,6807,2295000,6807,2295000,6807,0,6809,100,
6809,1,6909,1397655,6907,2295000,6908,2295000,6907,0,6909,100,
6909,1,7009,1397655,7007,2295000,7008,2295000,7008,0,7009,100,
7009,1,7109,1397655,7108,2295000,7108,2295000,7108,0,7109,100,
7109,1,7209,1397655,7208,2295000,7208,2295000,7208,0,7209,100,
7209,1,7309,1397655,7308,2295000,7309,2295000,7309,0,7309,100,
7309,1,7413,1397655,7412,2295000,7412,2295000,7412,0,7413,100,
7413,1,7510,1397655,7509,2295000,7509,2295000,7509,0,7510,100,
7510,1,7610,1397655,7609,2295000,7610,2295000,7609,0,7610,100,
7611,1,7710,1397655,7709,2295000,7710,2295000,7709,0,7710,100,
7710,1,7811,1397655,7810,2295000,7810,2295000,7810,0,7811,100,
7811,1,7911,1397655,7910,2295000,7910,2295000,7910,0,7911,100,
7911,1,8011,1397655,8010,2295000,8010,2295000,8010,0,8011,100,
8011,1,8112,1397655,8111,2295000,8112,2295000,8112,0,8112,100,
8112,1,8212,1397655,8211,2295000,8211,2295000,8211,0,8212,100,
8212,1,8312,1397655,8311,2295000,8311,2295000,8311,0,8312,100,
8312,1,8412,1397655,8411,2295000,8411,2295000,8411,0,8412,100,
8412,1,8516,1397655,8515,2295000,8515,2295000,8515,0,8516,100,
8516,1,8616,1397655,8615,2295000,8616,2295000,8615,0,8616,100,
8616,1,8717,1397655,8716,2295000,8716,2295000,8716,0,8717,100,
8717,1,8817,1397655,8816,2295000,8817,2295000,8816,0,8817,100,
8817,1,8918,1397655,8917,2295000,8917,2295000,8917,0,8918,100,
8918,1,9019,1397655,9017,2295000,9017,2295000,9017,0,9018,100,
9019,1,9118,1397655,9117,2295000,9117,2295000,9117,0,9118,100,
9118,1,9221,1397655,9220,2295000,9220,2295000,9220,0,9221,100,
9221,1,9322,1397655,9320,2295000,9321,2295000,9321,0,9321,100,
9322,1,9422,1397655,9421,2295000,9421,2295000,9421,0,9422,100,
9422,1,9522,1397655,9521,2295000,9522,2295000,9522,0,9522,100,
9522,1,9623,1397655,9622,2295000,9622,2295000,9622,0,9623,100,
