App,Package,Start Time,Duration,Filename
"System",,"Jun 21, 2018 @ 09:24:26 PM","1 min 1 sec","Trepn_2018.06.21_212426.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,25,209648,24,2295000,25,2295000,25,0,25,15,
25,1,126,768710,124,2295000,125,2295000,125,0,125,55,
126,1,231,25704,226,510000,227,510000,227,0,231,20,
234,1,278,348840,276,1530000,276,1530000,276,0,277,50,
278,1,378,1397655,377,2295000,378,2295000,378,0,378,100,
378,1,479,1006311,478,2295000,478,2295000,478,0,479,72,
479,1,579,1397655,578,2295000,578,2295000,578,0,579,100,
579,1,679,1397655,678,2295000,678,2295000,678,0,679,100,
679,1,779,1257889,778,2295000,779,2295000,779,0,779,90,
779,1,880,1076194,879,2295000,879,2295000,879,0,880,77,
880,1,980,1397655,979,2295000,979,2295000,979,0,980,100,
980,1,1080,1397655,1079,2295000,1079,2295000,1079,0,1080,100,
1080,1,1181,1397655,1179,2295000,1180,2295000,1179,0,1181,100,
1181,1,1281,1397655,1279,2295000,1280,2295000,1280,0,1280,100,
1281,1,1381,1397655,1380,2295000,1380,2295000,1380,0,1381,100,
1381,1,1482,1397655,1481,2295000,1482,2295000,1481,0,1482,100,
1482,1,1583,1397655,1582,2295000,1582,2295000,1582,0,1583,100,
1583,1,1683,1397655,1682,2295000,1682,2295000,1682,0,1683,100,
1683,1,1783,1397655,1782,2295000,1782,2295000,1782,0,1783,100,
1783,1,1889,1397655,1882,2295000,1885,2295000,1884,0,1889,100,
1889,1,1984,1397655,1982,2295000,1983,2295000,1983,0,1983,100,
1984,1,2084,1118124,2083,2295000,2083,2295000,2083,0,2084,80,
2084,1,2184,1397655,2183,2295000,2183,2295000,2183,0,2184,100,
2184,1,2284,1397655,2283,2295000,2284,2295000,2283,0,2284,100,
2284,1,2385,1397655,2384,2295000,2384,2295000,2384,0,2385,100,
2385,1,2485,1397655,2484,2295000,2484,2295000,2484,0,2485,100,
2485,1,2585,1397655,2584,2295000,2585,2295000,2584,0,2585,100,
2585,1,2685,1397655,2684,2295000,2685,2295000,2685,0,2685,100,
2685,1,2786,1257889,2785,2295000,2785,2295000,2785,0,2786,90,
2786,1,2886,1397655,2885,2295000,2885,2295000,2885,0,2886,100,
2886,1,2986,1397655,2985,2295000,2986,2295000,2985,0,2986,100,
