App,Package,Start Time,Duration,Filename
"System",,"Jun 22, 2018 @ 03:03:18 PM","1 min 47 sec","Trepn_2018.06.22_150318.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,39,223624,38,2295000,38,2295000,38,0,39,16,
39,1,139,559062,138,2295000,138,2295000,138,0,139,40,
139,1,239,69768,238,1530000,239,1530000,238,0,239,10,
240,1,341,1290799,340,2193000,340,2193000,340,0,341,100,
341,1,441,419296,440,2295000,440,2295000,440,0,441,30,
441,1,541,0,540,2295000,540,2295000,540,0,541,0,
541,1,641,153742,640,2295000,641,2295000,640,0,641,11,
641,1,742,461226,741,2295000,741,2295000,741,0,742,33,
742,1,844,1006311,842,2295000,843,2295000,842,0,844,72,
844,1,943,1397655,942,2295000,943,2295000,943,0,943,100,
943,1,1044,1397655,1043,2295000,1044,2295000,1043,0,1044,100,
1044,1,1145,1188106,1143,2091000,1144,2091000,1144,0,1145,100,
1145,1,1248,1397655,1247,2295000,1247,2295000,1247,0,1248,100,
1248,1,1348,1397655,1347,2295000,1348,2295000,1347,0,1348,100,
1348,1,1450,1397655,1448,2295000,1449,2295000,1448,0,1450,100,
1450,1,1550,1397655,1548,2295000,1549,2295000,1548,0,1550,100,
1550,1,1649,1397655,1648,2295000,1649,2295000,1649,0,1649,100,
1649,1,1750,922452,1749,2295000,1749,2295000,1749,0,1750,66,
1750,1,1850,1397655,1849,2295000,1849,2295000,1849,0,1850,100,
1850,1,1950,1132100,1949,2295000,1950,2295000,1950,0,1950,81,
1950,1,2000,698827,1999,2295000,2000,2295000,2000,0,2000,50,
2001,1,2101,1257889,2100,2295000,2100,2295000,2100,0,2101,90,
2101,1,2201,880522,2200,2295000,2200,2295000,2200,0,2201,63,
2201,1,2302,0,2300,1530000,2301,1530000,2301,0,2301,0,
2302,1,2402,125582,2401,1530000,2401,1530000,2401,0,2402,18,
2402,1,2505,0,2501,510000,2503,510000,2502,0,2505,0,
2505,1,2605,0,2602,510000,2603,510000,2602,0,2605,0,
2605,1,2703,230234,2702,1530000,2702,1530000,2702,0,2703,33,
2703,1,2807,11566,2803,510000,2804,510000,2804,0,2806,9,
2807,1,2909,32360,2903,561000,2905,561000,2904,0,2909,22,
2910,1,3008,39715,3004,561000,3005,561000,3005,0,3008,27,
3008,1,3109,38556,3104,510000,3106,510000,3105,0,3108,30,
3109,1,3205,83721,3204,1530000,3205,1530000,3205,0,3205,12,
3205,1,3310,0,3306,510000,3307,510000,3307,0,3310,0,
3311,1,3412,50940,3407,535500,3409,535500,3408,0,3411,37,
3412,1,3512,23133,3509,510000,3510,510000,3510,0,3512,18,
3513,1,3613,0,3609,637500,3611,637500,3611,0,3613,0,
3613,1,3710,174420,3709,1530000,3709,1530000,3709,0,3710,25,
3711,1,3810,0,3809,1530000,3809,1530000,3809,0,3810,0,
3810,1,3910,0,3909,2193000,3909,2193000,3909,0,3910,0,
3910,1,4015,0,4011,510000,4012,510000,4012,0,4014,0,
4015,1,4111,69768,4110,1530000,4111,1530000,4111,0,4111,10,
4111,1,4215,15003,4211,612000,4213,612000,4212,0,4215,9,
4216,1,4313,251164,4311,1530000,4312,1530000,4312,0,4313,36,
4313,1,4415,55055,4412,1326000,4413,1326000,4412,0,4414,10,
4415,1,4518,0,4513,510000,4515,510000,4514,0,4517,0,
4519,1,4618,14709,4614,561000,4615,561000,4615,0,4618,10,
4619,1,4715,230234,4714,1530000,4714,1530000,4714,0,4715,33,
4715,1,4816,0,4815,1530000,4815,1530000,4815,0,4816,0,
4816,1,4921,12852,4916,510000,4918,510000,4917,0,4921,10,
4921,1,5021,30288,5016,535500,5018,535500,5017,0,5020,22,
5021,1,5121,0,5117,586500,5119,586500,5118,0,5121,0,
5121,1,5224,14137,5220,510000,5221,510000,5221,0,5224,11,
5225,1,5327,12852,5320,510000,5322,510000,5321,0,5326,10,
5327,1,5422,69768,5420,1530000,5421,1530000,5420,0,5421,10,
5422,1,5522,69768,5521,1530000,5521,1530000,5521,0,5522,10,
5522,1,5638,12852,5623,510000,5625,510000,5624,0,5637,10,
5646,1,5723,174420,5722,1530000,5722,1530000,5722,0,5723,25,
5723,1,5829,11566,5823,510000,5825,510000,5824,0,5829,9,
5830,1,5928,36675,5924,612000,5926,612000,5925,0,5928,22,
5929,1,6029,56437,6025,586500,6026,586500,6025,0,6028,36,
6029,1,6128,188373,6126,1530000,6126,1530000,6126,0,6127,27,
6128,1,6231,83721,6227,1530000,6228,1530000,6228,0,6230,12,
