App,Package,Start Time,Duration,Filename
"System",,"Jun 22, 2018 @ 08:27:00 PM","1 min 47 sec","Trepn_2018.06.22_202659.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
2,1,2,293507,0,2295000,2,2295000,1,0,2,21,
47,1,105,698827,101,2295000,102,2295000,102,0,104,50,
105,1,203,1229936,202,2295000,202,2295000,202,0,203,88,
203,1,303,1048241,302,2295000,302,2295000,302,0,303,75,
303,1,403,1397655,402,2295000,403,2295000,402,0,403,100,
403,1,504,1118124,503,2295000,504,2295000,503,0,504,80,
504,1,604,461226,603,2295000,604,2295000,604,0,604,33,
604,1,705,139765,704,2295000,704,2295000,704,0,705,10,
705,1,805,503155,804,2295000,804,2295000,804,0,805,36,
805,1,908,1076194,905,2295000,907,2295000,906,0,908,77,
908,1,1007,1397655,1006,2295000,1006,2295000,1006,0,1007,100,
1007,1,1114,1397655,1113,2295000,1113,2295000,1113,0,1114,100,
1114,1,1217,1188106,1216,2091000,1216,2091000,1216,0,1217,100,
1217,1,1317,1188106,1316,2091000,1317,2091000,1316,0,1317,100,
1317,1,1419,1188106,1418,2091000,1418,2091000,1418,0,1419,100,
1419,1,1518,1188106,1517,2091000,1517,2091000,1517,0,1518,100,
1518,1,1618,1397655,1617,2295000,1617,2295000,1617,0,1618,100,
1618,1,1723,1397655,1720,2295000,1721,2295000,1721,0,1723,100,
1723,1,1822,1397655,1821,2295000,1821,2295000,1821,0,1822,100,
1822,1,1922,1257889,1921,2295000,1921,2295000,1921,0,1922,90,
1922,1,2022,517132,2021,2295000,2021,2295000,2021,0,2022,37,
2022,1,2122,810639,2121,2295000,2121,2295000,2121,0,2122,58,
2122,1,2222,698827,2221,2295000,2222,2295000,2222,0,2222,50,
2222,1,2323,517132,2322,2295000,2322,2295000,2322,0,2322,37,
2323,1,2423,503155,2422,2295000,2422,2295000,2422,0,2423,36,
2423,1,2530,14709,2523,561000,2524,561000,2524,0,2529,10,
2530,1,2630,25704,2623,510000,2625,510000,2625,0,2629,20,
2630,1,2727,77838,2724,637500,2725,637500,2725,0,2727,44,
2728,1,2829,12852,2825,510000,2827,510000,2826,0,2829,10,
2829,1,2931,0,2926,561000,2928,561000,2927,0,2931,0,
2931,1,3027,0,3025,1530000,3026,1530000,3026,0,3027,0,
3027,1,3128,0,3127,1530000,3127,1530000,3127,0,3128,0,
3128,1,3230,28038,3227,867000,3229,867000,3228,0,3230,10,
3231,1,3332,23133,3328,510000,3330,510000,3329,0,3332,18,
3333,1,3439,23133,3429,510000,3430,510000,3430,0,3438,18,
3445,1,3530,209303,3529,1530000,3529,1530000,3529,0,3530,30,
3530,1,3662,35381,3632,637500,3636,637500,3634,0,3661,20,
3664,1,3734,388742,3732,1632000,3733,1632000,3733,0,3734,50,
3734,1,3836,69768,3834,1530000,3834,1530000,3834,0,3836,10,
3836,1,3934,0,3933,2193000,3934,2193000,3934,0,3934,0,
3934,1,4035,223624,4034,2295000,4034,2295000,4034,0,4035,16,
4035,1,4136,139536,4135,1530000,4135,1530000,4135,0,4136,20,
4136,1,4236,76744,4235,1530000,4236,1530000,4235,0,4236,11,
4237,1,4337,0,4336,1530000,4336,1530000,4336,0,4337,0,
4337,1,4441,0,4437,510000,4438,510000,4438,0,4440,0,
4441,1,4543,0,4538,612000,4540,612000,4539,0,4542,0,
4543,1,4641,0,4638,637500,4639,637500,4639,0,4641,0,
4641,1,4739,230234,4738,1530000,4738,1530000,4738,0,4739,33,
4739,1,4839,0,4838,1530000,4838,1530000,4838,0,4839,0,
4839,1,4941,69768,4939,1530000,4940,1530000,4940,0,4941,10,
4942,1,5046,0,5040,510000,5042,510000,5041,0,5046,0,
5047,1,5144,14137,5140,510000,5142,510000,5141,0,5144,11,
5144,1,5248,34419,5244,535500,5246,535500,5245,0,5248,25,
5249,1,5349,25704,5345,510000,5346,510000,5346,0,5349,20,
5349,1,5450,29418,5446,561000,5447,561000,5447,0,5450,20,
5450,1,5547,153489,5545,1530000,5546,1530000,5546,0,5547,22,
5547,1,5662,23133,5657,510000,5659,510000,5658,0,5662,18,
5662,1,5750,174420,5748,1530000,5749,1530000,5749,0,5750,25,
5750,1,5855,25704,5849,510000,5851,510000,5851,0,5854,20,
5855,1,5958,20563,5950,510000,5953,510000,5952,0,5957,16,
5958,1,6051,76744,6049,1530000,6050,1530000,6050,0,6051,11,
6051,1,6152,83721,6150,1530000,6151,1530000,6151,0,6152,12,
6152,1,6252,62791,6250,1530000,6251,1530000,6251,0,6252,9,
6252,1,6353,139536,6352,1530000,6352,1530000,6352,0,6353,20,
6353,1,6459,11566,6453,510000,6454,510000,6454,0,6459,9,
6460,1,6561,0,6553,510000,6557,510000,6555,0,6561,0,
6562,1,6656,279072,6653,1530000,6654,1530000,6653,0,6656,40,
6656,1,6755,0,6753,1530000,6754,1530000,6754,0,6755,0,
6755,1,6855,188373,6854,1530000,6854,1530000,6854,0,6855,27,
6855,1,6956,125582,6954,1530000,6955,1530000,6954,0,6955,18,
6956,1,7062,12852,7055,510000,7058,510000,7057,0,7062,10,
7063,1,7161,26476,7156,561000,7159,561000,7158,0,7161,18,
7161,1,7261,0,7256,510000,7258,510000,7257,0,7260,0,
7261,1,7360,0,7357,637500,7358,637500,7358,0,7360,0,
7361,1,7464,0,7457,510000,7460,510000,7459,0,7463,0,
7464,1,7559,0,7557,1530000,7558,1530000,7557,0,7559,0,
