App,Package,Start Time,Duration,Filename
"System",,"Jun 23, 2018 @ 08:39:55 PM","52 sec","Trepn_2018.06.23_203955.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,28,195671,27,2295000,27,2295000,27,0,28,14,
28,1,129,387653,127,1734000,128,1734000,127,0,129,45,
129,1,233,0,229,510000,230,510000,229,0,233,0,
233,1,329,949579,328,1836000,329,1836000,329,0,329,100,
329,1,380,1290799,378,2193000,379,2193000,379,0,379,100,
380,1,480,0,479,2295000,479,2295000,479,0,480,0,
480,1,580,230234,579,1530000,579,1530000,579,0,580,33,
580,1,680,1397655,679,2295000,680,2295000,679,0,680,100,
680,1,788,125788,787,2295000,787,2295000,787,0,788,9,
788,1,888,461226,887,2295000,888,2295000,887,0,888,33,
888,1,988,391343,987,2295000,988,2295000,988,0,988,28,
988,1,1089,777484,1088,1632000,1088,1632000,1088,0,1089,100,
1089,1,1189,1041868,1188,1938000,1189,1938000,1188,0,1189,100,
1189,1,1289,1397655,1288,2295000,1289,2295000,1288,0,1289,100,
1289,1,1391,949579,1390,1836000,1390,1836000,1390,0,1391,100,
1391,1,1495,861451,1493,1734000,1494,1734000,1493,0,1495,100,
1495,1,1597,861451,1594,1734000,1596,1734000,1596,0,1597,100,
1597,1,1698,1188106,1697,2091000,1697,2091000,1697,0,1698,100,
1698,1,1799,1397655,1798,2295000,1798,2295000,1798,0,1798,100,
1799,1,1899,1397655,1898,2295000,1898,2295000,1898,0,1899,100,
1899,1,1999,1397655,1998,2295000,1999,2295000,1998,0,1999,100,
1999,1,2102,861451,2100,1734000,2101,1734000,2101,0,2102,100,
2102,1,2202,689160,2201,1734000,2201,1734000,2201,0,2202,80,
2202,1,2302,379831,2301,1836000,2301,1836000,2301,0,2302,40,
2302,1,2403,233245,2401,1734000,2402,1632000,2401,0,2403,30,
2403,1,2503,387653,2501,1734000,2502,1734000,2502,0,2503,45,
2503,1,2608,34700,2602,510000,2605,510000,2603,0,2607,27,
2608,1,2704,76744,2702,1530000,2703,1530000,2703,0,2704,11,
2704,1,2804,251164,2803,1530000,2803,1530000,2803,0,2804,36,
2805,1,2905,69768,2903,1530000,2904,1530000,2904,0,2905,10,
2905,1,3008,11566,3004,510000,3006,510000,3005,0,3008,9,
3008,1,3111,0,3105,510000,3107,510000,3107,0,3110,0,
3111,1,3209,72531,3206,637500,3207,637500,3207,0,3209,41,
3209,1,3314,18337,3309,612000,3311,612000,3310,0,3313,11,
3314,1,3413,16180,3409,561000,3411,561000,3410,0,3413,11,
3413,1,3518,34700,3510,510000,3512,510000,3511,0,3517,27,
3518,1,3614,14137,3610,510000,3612,510000,3611,0,3614,11,
3615,1,3715,34700,3711,510000,3713,510000,3712,0,3715,27,
3715,1,3814,279072,3811,1530000,3812,1530000,3812,0,3813,40,
3814,1,3912,377366,3911,2295000,3911,2295000,3911,0,3912,27,
3912,1,4012,768710,4011,2295000,4012,2295000,4012,0,4012,55,
4012,1,4113,139536,4112,1530000,4112,1530000,4112,0,4113,20,
4113,1,4214,153489,4212,1530000,4213,1530000,4212,0,4213,22,
4214,1,4319,41303,4314,535500,4316,535500,4316,0,4319,30,
4319,1,4420,16180,4415,561000,4417,561000,4417,0,4420,11,
4421,1,4521,0,4516,510000,4518,510000,4517,0,4520,0,
4521,1,4618,76744,4617,1530000,4617,1530000,4617,0,4618,11,
4618,1,4722,0,4718,637500,4719,637500,4719,0,4722,0,
4722,1,4833,313955,4826,1530000,4829,1530000,4828,0,4830,45,
4834,1,4919,104453,4918,1836000,4918,1836000,4918,0,4919,11,
4919,1,5020,153489,5019,1530000,5019,1530000,5019,0,5020,22,
5020,1,5124,12390,5120,535500,5121,535500,5121,0,5123,9,
5125,1,5226,14137,5220,510000,5222,510000,5221,0,5225,11,
5228,1,5322,189915,5320,1836000,5321,1836000,5321,0,5322,20,
5322,1,5422,125788,5421,2295000,5421,2295000,5421,0,5422,9,
5422,1,5523,0,5521,1530000,5522,1530000,5522,0,5523,0,
5523,1,5623,209303,5622,1530000,5622,1530000,5622,0,5623,30,
5624,1,5728,26476,5723,561000,5725,561000,5724,0,5728,18,
5728,1,5826,306979,5823,1530000,5824,1530000,5824,0,5826,44,
5826,1,5925,0,5923,1632000,5924,1632000,5924,0,5925,0,
5925,1,6030,12852,6025,510000,6027,510000,6026,0,6030,10,
6030,1,6129,31843,6126,637500,6127,637500,6126,0,6129,18,
6130,1,6228,313955,6226,1530000,6227,1530000,6227,0,6228,45,
6228,1,6329,48710,6326,790500,6327,790500,6327,0,6329,20,
6329,1,6431,31843,6427,637500,6428,637500,6428,0,6430,18,
6431,1,6531,15677,6527,586500,6529,586500,6528,0,6531,10,
6532,1,6632,12852,6628,510000,6629,510000,6629,0,6632,10,
6632,1,6741,0,6730,510000,6731,510000,6731,0,6741,0,
6742,1,6834,124791,6830,688500,6832,688500,6831,0,6834,63,
6834,1,6932,69768,6930,1530000,6931,1530000,6931,0,6932,10,
6932,1,7036,23133,7032,510000,7033,510000,7032,0,7036,18,
7036,1,7142,12852,7132,510000,7136,510000,7135,0,7141,10,
7142,1,7237,27535,7233,586500,7235,535500,7234,0,7237,20,
7238,1,7337,38919,7333,637500,7335,637500,7334,0,7337,22,
7337,1,7443,25704,7434,586500,7439,510000,7437,0,7442,20,
