App,Package,Start Time,Duration,Filename
"System",,"Jun 23, 2018 @ 09:03:50 PM","52 sec","Trepn_2018.06.23_210350.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
2,1,2,195671,0,2295000,1,2295000,0,0,1,14,
12,1,154,385491,153,1938000,153,1938000,153,0,154,37,
154,1,204,0,203,2295000,203,2295000,203,0,204,0,
204,1,304,664705,303,1836000,303,1836000,303,0,304,70,
304,1,406,1397655,405,2295000,406,2295000,405,0,406,100,
406,1,507,1397655,505,2295000,506,2295000,506,0,506,100,
507,1,607,349413,606,2295000,606,2295000,606,0,607,25,
607,1,707,838593,706,2295000,706,2295000,706,0,707,60,
707,1,807,1257889,806,2295000,806,2295000,806,0,807,90,
807,1,907,628944,906,2295000,907,2295000,907,0,907,45,
907,1,1009,861451,1007,1734000,1008,1734000,1007,0,1009,100,
1009,1,1110,1397655,1109,2295000,1109,2295000,1109,0,1110,100,
1110,1,1211,777484,1210,1632000,1210,1632000,1210,0,1211,100,
1211,1,1314,777484,1313,1632000,1313,1632000,1313,0,1314,100,
1314,1,1414,777484,1412,1632000,1412,1632000,1412,0,1414,100,
1414,1,1514,861451,1512,1734000,1513,1734000,1513,0,1514,100,
1514,1,1615,949579,1613,1836000,1614,1836000,1614,0,1615,100,
1615,1,1717,949579,1715,1836000,1715,1836000,1715,0,1716,100,
1717,1,1816,861451,1815,1734000,1816,1734000,1815,0,1816,100,
1817,1,1917,861451,1915,1734000,1916,1734000,1916,0,1917,100,
1917,1,2019,861451,2016,1734000,2018,1734000,2017,0,2019,100,
2019,1,2119,861451,2117,1734000,2117,1734000,2117,0,2119,100,
2119,1,2221,777484,2219,1632000,2219,1632000,2219,0,2220,100,
2221,1,2320,569747,2319,1836000,2319,1836000,2319,0,2320,60,
2320,1,2420,542714,2419,1734000,2420,1734000,2419,0,2420,63,
2421,1,2521,758077,2519,1734000,2520,1734000,2520,0,2520,88,
2521,1,2621,775306,2620,1734000,2620,1734000,2620,0,2621,90,
2621,1,2721,307484,2720,2295000,2720,2295000,2720,0,2721,22,
2721,1,2821,0,2820,2295000,2821,2295000,2821,0,2821,0,
2822,1,2922,419296,2921,2295000,2921,2295000,2921,0,2922,30,
2922,1,3027,12852,3022,510000,3023,510000,3023,0,3026,10,
3027,1,3136,32360,3122,561000,3124,561000,3123,0,3129,22,
3136,1,3224,376747,3222,1530000,3223,1530000,3223,0,3224,54,
3224,1,3327,25704,3323,510000,3325,510000,3324,0,3327,20,
3328,1,3434,209303,3425,1530000,3430,1530000,3428,0,3432,30,
3434,1,3528,25704,3524,510000,3526,510000,3525,0,3528,20,
3528,1,3628,19459,3625,637500,3626,637500,3626,0,3628,11,
3629,1,3727,230234,3725,1530000,3726,1530000,3725,0,3726,33,
3727,1,3827,174420,3826,1530000,3826,1530000,3826,0,3827,25,
3827,1,3928,0,3927,1530000,3927,1530000,3927,0,3928,0,
3928,1,4028,232343,4026,2193000,4027,2193000,4027,0,4028,18,
4028,1,4128,76744,4127,1530000,4127,1530000,4127,0,4128,11,
4128,1,4228,230234,4227,1530000,4228,1530000,4227,0,4228,33,
4228,1,4332,0,4328,637500,4330,637500,4329,0,4332,0,
4332,1,4436,279072,4429,1530000,4431,1530000,4430,0,4435,40,
4436,1,4530,208907,4529,1836000,4529,1836000,4529,0,4530,22,
4530,1,4630,0,4629,1530000,4630,1530000,4629,0,4630,0,
4630,1,4731,139536,4730,1530000,4730,1530000,4730,0,4731,20,
4731,1,4832,0,4830,1530000,4831,1530000,4831,0,4832,0,
4832,1,4936,20563,4932,510000,4933,510000,4932,0,4935,16,
4936,1,5033,209303,5032,1530000,5032,1530000,5032,0,5033,30,
5033,1,5136,12852,5132,510000,5134,510000,5133,0,5136,10,
5136,1,5238,28274,5233,510000,5235,510000,5234,0,5238,22,
5238,1,5338,12852,5334,510000,5336,510000,5335,0,5338,10,
5338,1,5441,348840,5436,637500,5439,1530000,5439,0,5440,50,
5441,1,5536,0,5535,1530000,5535,1530000,5535,0,5536,0,
5536,1,5641,23133,5636,510000,5638,510000,5637,0,5640,18,
5641,1,5740,53071,5736,637500,5738,637500,5737,0,5740,30,
5741,1,5842,23133,5837,510000,5839,510000,5838,0,5842,18,
