App,Package,Start Time,Duration,Filename
"System",,"Jun 23, 2018 @ 11:13:32 PM","51 sec","Trepn_2018.06.23_231332.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
2,1,2,209648,0,2295000,1,2295000,1,0,2,15,
12,1,104,318736,102,1734000,103,1734000,103,0,104,37,
104,1,204,137832,203,1734000,203,1734000,203,0,204,16,
204,1,305,569747,304,1836000,304,1836000,304,0,305,60,
305,1,405,1397655,404,2295000,404,2295000,404,0,405,100,
405,1,505,1397655,504,2295000,504,2295000,504,0,505,100,
505,1,605,1397655,604,2295000,604,2295000,604,0,605,100,
605,1,705,1397655,704,2295000,705,2295000,705,0,705,100,
705,1,806,614968,805,2295000,805,2295000,805,0,806,44,
806,1,906,861451,905,1734000,905,1734000,905,0,906,100,
906,1,1007,1397655,1006,2295000,1007,2295000,1006,0,1007,100,
1007,1,1108,777484,1107,1632000,1107,1632000,1107,0,1108,100,
1108,1,1209,861451,1208,1734000,1208,1734000,1208,0,1209,100,
1209,1,1309,861451,1308,1734000,1308,1734000,1308,0,1309,100,
1309,1,1410,861451,1408,1734000,1409,1734000,1408,0,1410,100,
1410,1,1511,1290799,1510,2193000,1511,2193000,1510,0,1511,100,
1511,1,1613,1397655,1612,2295000,1613,2295000,1612,0,1613,100,
1613,1,1714,1397655,1713,2295000,1713,2295000,1713,0,1714,100,
1714,1,1814,1397655,1813,2295000,1813,2295000,1813,0,1814,100,
1814,1,1917,699736,1915,1632000,1916,1632000,1916,0,1917,90,
1917,1,2017,663317,2016,1734000,2016,1734000,2016,0,2017,77,
2017,1,2117,598234,2116,1836000,2116,1836000,2116,0,2117,63,
2117,1,2218,603015,2216,1734000,2217,1734000,2217,0,2218,70,
2218,1,2318,516870,2316,1734000,2317,1734000,2317,0,2318,60,
2318,1,2418,603015,2417,1734000,2417,1734000,2417,0,2418,70,
2418,1,2518,215362,2517,1734000,2517,1734000,2517,0,2518,25,
2518,1,2622,12852,2618,510000,2620,510000,2619,0,2622,10,
2622,1,2723,0,2719,510000,2721,510000,2720,0,2723,0,
2723,1,2841,56447,2823,535500,2838,535500,2826,0,2841,41,
2842,1,2923,83721,2922,1530000,2922,1530000,2922,0,2923,12,
2924,1,3026,15677,3023,586500,3024,586500,3023,0,3026,10,
3026,1,3126,279072,3124,1530000,3125,1530000,3125,0,3126,40,
