App,Package,Start Time,Duration,Filename
"System",,"Jun 24, 2018 @ 12:25:12 AM","51 sec","Trepn_2018.06.24_002512.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,32,120603,31,1734000,32,1734000,31,0,32,14,
33,1,133,342093,131,1632000,132,1632000,132,0,133,44,
133,1,233,0,232,1530000,232,1530000,232,0,233,0,
233,1,334,1161719,333,2193000,333,2193000,333,0,334,90,
335,1,434,1397655,433,2295000,433,2295000,433,0,434,100,
434,1,534,1397655,533,2295000,533,2295000,533,0,534,100,
534,1,634,754733,633,2295000,634,2295000,634,0,634,54,
634,1,735,279531,734,2295000,734,2295000,734,0,735,20,
735,1,835,419296,834,2295000,834,2295000,834,0,835,30,
835,1,936,978358,935,2295000,935,2295000,935,0,936,70,
936,1,1042,861451,1038,1734000,1041,1734000,1041,0,1042,100,
1042,1,1139,1397655,1138,2295000,1139,2295000,1139,0,1139,100,
1139,1,1240,697775,1239,1734000,1239,1734000,1239,0,1240,81,
1240,1,1341,1397655,1340,2295000,1341,2295000,1340,0,1341,100,
1341,1,1391,1397655,1390,2295000,1391,2295000,1391,0,1391,100,
1391,1,1492,1397655,1490,2295000,1491,2295000,1491,0,1491,100,
1492,1,1593,777484,1592,1632000,1592,1632000,1592,0,1593,100,
1593,1,1697,1397655,1694,2295000,1696,2295000,1696,0,1697,100,
1697,1,1796,1397655,1794,2295000,1795,2295000,1795,0,1796,100,
1796,1,1896,1229936,1895,2295000,1895,2295000,1895,0,1896,88,
1896,1,1996,838593,1995,2295000,1995,2295000,1995,0,1996,60,
1996,1,2097,699736,2095,1632000,2096,1632000,2096,0,2097,90,
2097,1,2197,468840,2196,1938000,2196,1938000,2196,0,2197,45,
2197,1,2298,569747,2296,1836000,2297,1836000,2297,0,2298,60,
2298,1,2398,758077,2396,1734000,2397,1734000,2397,0,2398,88,
2398,1,2498,344580,2497,1734000,2497,1734000,2497,0,2498,40,
2498,1,2599,0,2597,1020000,2598,1020000,2598,0,2599,0,
2599,1,2717,286048,2698,510000,2705,1530000,2705,0,2707,41,
2718,1,2799,83721,2798,1530000,2798,1530000,2798,0,2799,12,
2799,1,2903,0,2899,510000,2900,510000,2900,0,2903,0,
2903,1,3003,17244,2999,586500,3001,586500,3000,0,3003,11,
3003,1,3107,47764,3100,637500,3102,637500,3101,0,3104,27,
3108,1,3206,28274,3200,510000,3202,510000,3201,0,3206,22,
3206,1,3305,36675,3301,612000,3302,612000,3302,0,3305,22,
3305,1,3406,58379,3402,637500,3403,637500,3403,0,3405,33,
