App,Package,Start Time,Duration,Filename
"System",,"Jun 24, 2018 @ 10:15:13 PM","1 min 1 sec","Trepn_2018.06.24_221512.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,36,307484,35,2295000,35,2295000,35,0,36,22,
36,1,136,237394,135,1836000,135,1836000,135,0,136,25,
136,1,239,31843,236,637500,237,637500,236,0,238,18,
239,1,337,569747,336,1836000,336,1836000,336,0,337,60,
337,1,437,1397655,436,2295000,437,2295000,437,0,437,100,
437,1,538,1397655,537,2295000,537,2295000,537,0,538,100,
538,1,638,1397655,637,2295000,637,2295000,637,0,638,100,
638,1,739,1397655,738,2295000,738,2295000,738,0,739,100,
739,1,845,838593,844,2295000,844,2295000,844,0,845,60,
845,1,941,949579,939,1836000,940,1836000,939,0,940,100,
941,1,1041,1290799,1039,2193000,1040,2193000,1040,0,1041,100,
1041,1,1145,1397655,1140,2295000,1140,2295000,1140,0,1145,100,
1145,1,1243,949579,1241,1836000,1242,1836000,1242,0,1243,100,
1243,1,1343,861451,1342,1734000,1343,1734000,1342,0,1343,100,
1343,1,1443,949579,1442,1836000,1443,1836000,1442,0,1443,100,
1444,1,1544,949579,1542,1836000,1543,1836000,1542,0,1543,100,
1544,1,1644,1290799,1643,2193000,1643,2193000,1643,0,1644,100,
1644,1,1744,1397655,1743,2295000,1744,2295000,1743,0,1744,100,
1744,1,1845,949579,1843,1836000,1844,1836000,1844,0,1845,100,
1845,1,1945,861451,1944,1734000,1944,1734000,1944,0,1945,100,
1945,1,2046,1397655,2044,2295000,2045,2295000,2045,0,2046,100,
2046,1,2146,949579,2144,1836000,2145,1836000,2145,0,2146,100,
2146,1,2247,588739,2245,1836000,2246,1836000,2246,0,2247,62,
2247,1,2346,950484,2345,2091000,2345,2091000,2345,0,2346,80,
2346,1,2447,569747,2445,1836000,2446,1836000,2446,0,2447,60,
2447,1,2547,759663,2546,1836000,2546,1836000,2546,0,2547,80,
2547,1,2647,0,2646,1836000,2646,1836000,2646,0,2647,0,
2647,1,2764,42855,2756,841500,2760,841500,2759,0,2761,16,
2765,1,2806,949579,2804,1836000,2804,1836000,2804,0,2805,100,
2806,1,2906,69768,2904,1530000,2905,1530000,2905,0,2906,10,
2906,1,3012,12852,3005,510000,3007,510000,3006,0,3009,10,
3013,1,3109,0,3105,510000,3106,510000,3106,0,3108,0,
3109,1,3206,0,3205,1836000,3205,1836000,3205,0,3206,0,
3206,1,3306,0,3305,2091000,3306,2091000,3305,0,3306,0,
3306,1,3410,12852,3406,510000,3407,510000,3407,0,3410,10,
3410,1,3510,15422,3506,510000,3508,510000,3507,0,3510,12,
3511,1,3612,15677,3607,586500,3609,586500,3608,0,3612,10,
3612,1,3712,26476,3708,561000,3709,561000,3708,0,3712,18,
3712,1,3810,537213,3808,1530000,3809,1530000,3809,0,3810,77,
3810,1,3909,978358,3908,2295000,3908,2295000,3908,0,3909,70,
3909,1,4009,69768,4008,1530000,4008,1530000,4008,0,4009,10,
4009,1,4113,11566,4109,510000,4111,510000,4110,0,4113,9,
4118,1,4211,0,4209,1530000,4210,1530000,4209,0,4210,0,
4211,1,4315,0,4311,510000,4312,510000,4312,0,4315,0,
4315,1,4417,0,4412,510000,4414,510000,4413,0,4417,0,
4417,1,4517,31354,4513,586500,4515,586500,4514,0,4517,20,
4517,1,4622,12852,4615,510000,4617,510000,4616,0,4621,10,
4622,1,4721,57834,4716,510000,4718,510000,4717,0,4721,45,
4721,1,4817,427310,4815,1836000,4816,1836000,4816,0,4817,45,
4817,1,4917,174420,4916,1530000,4916,1530000,4916,0,4917,25,
4917,1,5022,21228,5018,637500,5020,637500,5019,0,5022,12,
5022,1,5127,12852,5120,510000,5123,510000,5121,0,5127,10,
5128,1,5225,38919,5220,637500,5222,637500,5221,0,5224,22,
5225,1,5326,18337,5321,612000,5323,612000,5322,0,5325,11,
5326,1,5424,139536,5421,1530000,5422,1530000,5422,0,5424,20,
5425,1,5527,139536,5523,510000,5524,1530000,5524,0,5526,20,
5527,1,5628,0,5622,510000,5624,510000,5623,0,5627,0,
5628,1,5728,12390,5723,535500,5725,535500,5724,0,5727,9,
5728,1,5825,854621,5824,1836000,5825,1836000,5824,0,5825,90,
5825,1,5926,141987,5925,2193000,5925,2193000,5925,0,5926,11,
5926,1,6030,28305,6026,637500,6028,637500,6027,0,6030,16,
6030,1,6128,153489,6126,1530000,6127,1530000,6127,0,6128,22,
6128,1,6230,0,6227,586500,6228,586500,6228,0,6230,0,
6230,1,6332,23133,6328,510000,6329,510000,6328,0,6331,18,
6332,1,6433,230234,6428,1530000,6430,1530000,6430,0,6432,33,
6393,1,6530,516870,6528,1734000,6529,1734000,6529,0,6530,60,
6433,1,6629,118810,6628,2091000,6629,2091000,6628,0,6629,10,
6530,1,6733,23133,6729,510000,6731,510000,6730,0,6733,18,
6629,1,6832,520934,6830,1938000,6831,1938000,6830,0,6832,50,
6733,1,6932,1397655,6930,2295000,6931,2295000,6931,0,6932,100,
6832,1,7031,866546,7030,2295000,7031,2295000,7031,0,7031,62,
6938,1,7132,104651,7131,1530000,7132,1530000,7131,0,7132,15,
7031,1,7235,69768,7232,510000,7234,1530000,7233,0,7235,10,
7132,1,7337,0,7333,510000,7334,510000,7333,0,7336,0,
7235,1,7437,0,7434,510000,7435,510000,7434,0,7437,0,
7337,1,7538,0,7534,510000,7536,510000,7535,0,7538,0,
7438,1,7639,12852,7635,510000,7636,510000,7636,0,7639,10,
7538,1,7742,11566,7737,510000,7738,510000,7738,0,7742,9,
7639,1,7838,460468,7836,1530000,7837,1530000,7837,0,7838,66,
7742,1,7941,598234,7936,1836000,7937,1836000,7937,0,7941,63,
7838,1,8038,768710,8036,2295000,8037,2295000,8037,0,8037,55,
7941,1,8141,12852,8137,510000,8139,510000,8138,0,8141,10,
8038,1,8246,0,8239,510000,8242,510000,8241,0,8245,0,
8141,1,8340,0,8338,1530000,8339,1530000,8339,0,8340,0,
8246,1,8444,0,8440,510000,8441,510000,8441,0,8444,0,
8340,1,8545,50012,8540,612000,8542,612000,8541,0,8544,30,
8445,1,8651,13767,8641,510000,8644,535500,8643,0,8650,10,
8545,1,8742,0,8741,1530000,8741,1530000,8741,0,8742,0,
8651,1,8842,664705,8841,1836000,8842,1836000,8841,0,8842,70,
8742,1,8943,69768,8941,1530000,8942,1530000,8942,0,8943,10,
8842,1,9046,47764,9042,637500,9044,637500,9043,0,9046,27,
8943,1,9148,25704,9144,510000,9145,510000,9145,0,9148,20,
9046,1,9250,12852,9244,510000,9246,510000,9245,0,9249,10,
9148,1,9345,0,9344,1530000,9344,1530000,9344,0,9345,0,
9250,1,9446,69768,9445,1530000,9445,1530000,9445,0,9446,10,
9345,1,9546,62791,9545,1530000,9545,1530000,9545,0,9546,9,
9446,1,9652,0,9646,510000,9648,510000,9647,0,9651,0,
9546,1,9750,0,9748,1530000,9749,1530000,9748,0,9750,0,
9652,1,9849,569747,9848,1836000,9849,1836000,9848,0,9849,60,
9750,1,9954,32130,9950,510000,9951,510000,9951,0,9954,25,
9849,1,10055,33341,10051,612000,10052,612000,10052,0,10055,20,
9954,1,10159,12852,10152,510000,10155,510000,10153,0,10158,10,
10055,1,10257,18736,10253,663000,10255,663000,10254,0,10257,10,
10159,1,10354,69768,10352,1530000,10353,1530000,10353,0,10354,10,
10257,1,10459,12852,10454,510000,10457,510000,10456,0,10459,10,
10354,1,10565,23133,10554,510000,10556,510000,10555,0,10564,18,
10459,1,10659,14137,10655,510000,10657,510000,10656,0,10659,11,
10565,1,10769,313955,10766,1530000,10767,1530000,10767,0,10768,45,
10660,1,10857,731175,10855,1836000,10856,1836000,10856,0,10857,77,
10769,1,10957,1397655,10956,2295000,10956,2295000,10956,0,10957,100,
