App,Package,Start Time,Duration,Filename
"System",,"Jun 25, 2018 @ 12:26:37 AM","1 min 2 sec","Trepn_2018.06.25_002637.db"

Time  [ms],"Battery Status",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",
0,1,27,559062,22,2295000,22,2295000,22,0,23,40,
27,1,124,568557,122,1734000,123,1734000,122,0,124,66,
124,1,224,344580,222,1734000,223,1734000,223,0,224,40,
224,1,328,949579,327,1734000,328,1836000,327,0,328,100,
328,1,378,949579,377,1836000,378,1836000,377,0,378,100,
378,1,529,949579,528,1836000,528,1836000,528,0,529,100,
529,1,579,172290,578,1734000,578,1734000,578,0,579,20,
579,1,679,189519,678,1734000,678,1734000,678,0,679,22,
679,1,780,861451,778,1734000,779,1734000,778,0,780,100,
780,1,880,77530,878,1734000,879,1734000,879,0,879,9,
880,1,980,170924,979,1836000,979,1836000,979,0,980,18,
980,1,1081,341848,1079,1836000,1080,1836000,1079,0,1081,36,
1081,1,1181,1397655,1180,2295000,1181,2295000,1181,0,1181,100,
1181,1,1282,861451,1281,1734000,1281,1734000,1281,0,1282,100,
1282,1,1382,1397655,1381,2295000,1381,2295000,1381,0,1382,100,
1382,1,1487,861451,1485,1734000,1486,1734000,1486,0,1487,100,
1487,1,1588,1188106,1586,2091000,1587,2091000,1587,0,1588,100,
1588,1,1687,1397655,1686,2295000,1687,2295000,1686,0,1687,100,
1687,1,1788,1397655,1787,2295000,1787,2295000,1787,0,1788,100,
1788,1,1889,861451,1888,1734000,1888,1734000,1888,0,1889,100,
1889,1,1994,1188106,1993,2091000,1993,2091000,1993,0,1994,100,
1994,1,2094,1132100,2093,2295000,2093,2295000,2093,0,2094,81,
2094,1,2195,775306,2193,1734000,2194,1734000,2194,0,2195,90,
2195,1,2295,663317,2294,1734000,2294,1734000,2294,0,2295,77,
2295,1,2398,861451,2396,1734000,2397,1734000,2397,0,2398,100,
2398,1,2500,861451,2499,1734000,2499,1734000,2499,0,2500,100,
2500,1,2600,914841,2599,2091000,2599,2091000,2599,0,2600,77,
2600,1,2700,1397655,2699,2295000,2700,2295000,2700,0,2700,100,
2700,1,2801,628944,2800,2295000,2800,2295000,2800,0,2800,45,
2801,1,2901,614968,2900,2295000,2900,2295000,2900,0,2901,44,
2901,1,3001,0,3000,2295000,3001,2295000,3001,0,3001,0,
3001,1,3104,0,3101,637500,3102,637500,3102,0,3104,0,
3104,1,3206,0,3202,510000,3203,510000,3203,0,3206,0,
3206,1,3304,474789,3302,1836000,3303,1836000,3302,0,3303,50,
3304,1,3405,978358,3403,2295000,3404,2295000,3403,0,3405,70,
3405,1,3504,628944,3503,2295000,3504,2295000,3503,0,3504,45,
3504,1,3605,1006311,3604,2295000,3604,2295000,3604,0,3605,72,
3605,1,3706,313361,3704,1836000,3704,1836000,3704,0,3705,33,
3706,1,3805,153742,3804,2295000,3804,2295000,3804,0,3805,11,
3805,1,3909,34700,3905,510000,3907,510000,3906,0,3909,27,
3909,1,4010,19459,4006,637500,4007,637500,4006,0,4010,11,
4010,1,4112,35381,4106,510000,4109,637500,4107,0,4112,20,
4112,1,4208,230234,4206,1530000,4207,1530000,4206,0,4207,33,
4208,1,4307,697031,4306,2193000,4307,2193000,4307,0,4307,54,
4307,1,4410,89948,4407,969000,4408,969000,4408,0,4410,27,
4410,1,4513,15144,4508,535500,4511,535500,4509,0,4513,11,
4514,1,4614,14137,4609,510000,4611,510000,4611,0,4613,11,
4614,1,4724,42411,4711,510000,4716,510000,4712,0,4723,33,
4724,1,4813,195350,4811,1530000,4812,1530000,4812,0,4813,28,
4813,1,4917,34700,4913,510000,4914,510000,4914,0,4917,27,
4917,1,5014,279072,5013,1530000,5013,1530000,5013,0,5014,40,
5014,1,5117,0,5113,510000,5115,510000,5114,0,5117,0,
5117,1,5219,0,5214,510000,5216,510000,5215,0,5218,0,
5219,1,5316,474789,5314,1836000,5315,1836000,5315,0,5316,50,
5316,1,5417,1397655,5415,2295000,5415,2295000,5415,0,5417,100,
5417,1,5517,1397655,5515,2295000,5516,2295000,5516,0,5517,100,
5517,1,5617,334145,5615,2014500,5616,2014500,5616,0,5616,30,
5617,1,5717,698827,5716,2295000,5716,2295000,5716,0,5717,50,
5717,1,5820,62584,5816,765000,5817,765000,5817,0,5820,27,
5820,1,5921,44226,5917,637500,5919,637500,5918,0,5921,25,
5921,1,6022,17244,6019,586500,6020,586500,6020,0,6022,11,
6023,1,6124,25704,6120,510000,6121,510000,6121,0,6124,20,
6124,1,6225,25704,6220,510000,6222,510000,6221,0,6225,20,
6225,1,6323,731175,6321,1836000,6321,1836000,6321,0,6323,77,
6323,1,6423,838593,6421,2295000,6422,2295000,6422,0,6423,60,
6423,1,6524,922452,6522,2295000,6522,2295000,6522,0,6523,66,
6524,1,6623,265779,6622,1224000,6622,1224000,6622,0,6623,55,
6624,1,6730,12852,6724,510000,6726,510000,6725,0,6729,10,
6730,1,6825,279072,6824,1530000,6824,1530000,6824,0,6825,40,
6825,1,6929,34700,6925,510000,6926,510000,6926,0,6929,27,
6929,1,7031,46267,7026,510000,7028,510000,7027,0,7030,36,
7031,1,7132,38556,7127,510000,7129,510000,7128,0,7131,30,
7132,1,7235,125582,7227,1530000,7234,1530000,7234,0,7235,18,
7235,1,7328,473798,7327,1734000,7328,1734000,7327,0,7328,55,
7328,1,7429,810639,7428,2295000,7428,2295000,7428,0,7429,58,
7429,1,7529,628944,7528,2295000,7528,2295000,7528,0,7529,45,
7529,1,7633,16521,7629,535500,7630,535500,7630,0,7633,12,
7633,1,7734,23133,7729,510000,7731,510000,7730,0,7734,18,
7734,1,7833,0,7830,510000,7831,510000,7830,0,7833,0,
7833,1,7934,13767,7930,535500,7931,535500,7931,0,7934,10,
7934,1,8035,28274,8031,510000,8032,510000,8032,0,8034,22,
8035,1,8137,25704,8132,510000,8133,510000,8133,0,8137,20,
8138,1,8232,139536,8231,1530000,8232,1530000,8231,0,8232,20,
8232,1,8333,522268,8331,1836000,8332,1836000,8332,0,8333,55,
8333,1,8433,139536,8432,1530000,8433,1530000,8432,0,8433,20,
8433,1,8537,17690,8533,637500,8534,637500,8534,0,8536,10,
8537,1,8639,12852,8634,510000,8636,510000,8635,0,8639,10,
8639,1,8740,34700,8735,510000,8736,510000,8735,0,8739,27,
8741,1,8836,195350,8835,1530000,8835,1530000,8835,0,8836,28,
8836,1,8941,12852,8936,510000,8938,510000,8937,0,8941,10,
8941,1,9041,14137,9037,510000,9039,510000,9038,0,9041,11,
9041,1,9138,0,9136,1530000,9137,1530000,9136,0,9138,0,
9138,1,9247,48541,9241,561000,9243,561000,9242,0,9246,33,
9247,1,9341,559062,9338,2295000,9339,2295000,9339,0,9340,40,
9341,1,9441,614968,9438,2295000,9439,2295000,9439,0,9441,44,
9441,1,9540,517132,9538,2295000,9539,2295000,9539,0,9540,37,
9540,1,9640,698827,9639,2295000,9639,2295000,9639,0,9640,50,
9640,1,9740,0,9739,1428000,9739,1428000,9739,0,9740,0,
9740,1,9843,35381,9839,637500,9841,637500,9840,0,9843,20,
9843,1,9944,28218,9940,586500,9942,586500,9941,0,9944,18,
9945,1,10045,25704,10041,510000,10042,510000,10042,0,10045,20,
10045,1,10146,28274,10141,510000,10143,510000,10142,0,10145,22,
10146,1,10254,38556,10243,510000,10245,510000,10244,0,10254,30,
10255,1,10345,668290,10343,2014500,10344,2014500,10343,0,10345,60,
10345,1,10444,1229936,10443,2295000,10443,2295000,10443,0,10444,88,
10444,1,10544,1006311,10543,2295000,10543,2295000,10543,0,10544,72,
10544,1,10644,559062,10643,2295000,10644,2295000,10643,0,10644,40,
10644,1,10745,110111,10743,1326000,10744,1326000,10744,0,10745,20,
10745,1,10845,139536,10844,1530000,10844,1530000,10844,0,10845,20,
10845,1,10948,15677,10945,586500,10946,586500,10946,0,10948,10,
