--------- beginning of system
I/Vold    (  153): Vold 2.1 (the revenge) firing up
D/VoldCmdListener(  153): cryptfs mountdefaultencrypted
D/Cryptfs (  153): crypt_ftr->fs_size = 23175168
I/Cryptfs (  153): Using scrypt with keymaster for cryptfs KDF
I/Cryptfs (  153): Signing safely-padded object
I/Cryptfs (  153): Enabling support for allow_discards in dmcrypt.
I/Cryptfs (  153): Password matches
D/Cryptfs (  153): test_mount_encrypted_fs(): Master key saved
I/Cryptfs (  153): keymaster version is 3
D/Cryptfs (  153): Password is default - restarting filesystem
D/Cryptfs (  153): unmounting /data succeeded
D/Cryptfs (  153): Just triggered post_fs_data
D/Cryptfs (  153): post_fs_data done
D/Cryptfs (  153): Just triggered restart_framework
I/InstallerConnection(  455): disconnecting...
I/SystemServer(  455): Entered the Android system server!
I/SystemServiceManager(  455): Starting com.android.server.pm.Installer
I/Installer(  455): Waiting for installd to be ready.
I/InstallerConnection(  455): connecting...
I/SystemServiceManager(  455): Starting com.android.server.am.ActivityManagerService$Lifecycle
I/ActivityManager(  455): Memory class: 192
I/IntentFirewall(  455): Read new rules (A:0 B:0 S:0)
D/AppOps  (  455): AppOpsService published
I/SystemServiceManager(  455): Starting com.android.server.power.PowerManagerService
I/SystemServiceManager(  455): Starting com.android.server.display.DisplayManagerService
I/SystemServiceManager(  455): Starting phase 100
I/DisplayManagerService(  455): Display device added: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:0", 1536 x 2048, 60.000004 fps, supportedRefreshRates [60.000004, 59.0], density 320, 288.995 x 288.995 dpi, appVsyncOff 0, presDeadline 17666666, touch INTERNAL, rotation 0, type BUILT_IN, state UNKNOWN, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
I/SystemServer(  455): Package Manager
D/SELinuxMMAC(  455): Using policy file /system/etc/security/mac_permissions.xml
W/PackageManager(  455): Failed to parse /system/framework/arm: Missing base APK in /system/framework/arm
W/PackageManager(  455): Failed to parse /system/framework/arm64: Missing base APK in /system/framework/arm64
I/PackageManager(  455): Package com.google.android.apps.gcs at /system/priv-app/GCS ignored: updated version 2140 better than this 14
W/PackageManager(  455): Failed to parse /system/priv-app/GCS: null
W/PackageParser(  455): No actions in intent filter at /system/priv-app/GoogleContacts/GoogleContacts.apk Binary XML file line #363
I/PackageManager(  455): Package com.google.android.contacts at /system/priv-app/GoogleContacts ignored: updated version 2049783 better than this 10100
W/PackageManager(  455): Failed to parse /system/priv-app/GoogleContacts: null
I/PackageManager(  455): Package com.google.android.talk at /system/priv-app/Hangouts ignored: updated version 24502902 better than this 22228342
W/PackageManager(  455): Failed to parse /system/priv-app/Hangouts: null
I/PackageManager(  455): Package com.android.vending at /system/priv-app/Phonesky ignored: updated version 81051000 better than this 80321300
W/PackageManager(  455): Failed to parse /system/priv-app/Phonesky: null
I/PackageManager(  455): Package com.google.android.gms at /system/priv-app/PrebuiltGmsCore ignored: updated version 12685011 better than this 6779446
W/PackageManager(  455): Failed to parse /system/priv-app/PrebuiltGmsCore: null
W/PackageParser(  455): No actions in intent filter at /system/priv-app/SetupWizard/SetupWizard.apk Binary XML file line #170
W/PackageParser(  455): No actions in intent filter at /system/priv-app/SetupWizard/SetupWizard.apk Binary XML file line #362
W/PackageParser(  455): Unknown element under <intent-filter>: android at /system/priv-app/Telecom/Telecom.apk Binary XML file line #232
I/PackageManager(  455): Package com.google.android.googlequicksearchbox at /system/priv-app/Velvet ignored: updated version 300751851 better than this 300401292
W/PackageManager(  455): Failed to parse /system/priv-app/Velvet: null
W/PackageParser(  455): No actions in intent filter at /system/app/Bluetooth/Bluetooth.apk Binary XML file line #209
I/PackageManager(  455): Package com.google.android.apps.books at /system/app/Books ignored: updated version 31505 better than this 30315
W/PackageManager(  455): Failed to parse /system/app/Books: null
I/PackageManager(  455): Package com.google.android.calendar at /system/app/CalendarGooglePrebuilt ignored: updated version 2015593137 better than this 2014120441
W/PackageManager(  455): Failed to parse /system/app/CalendarGooglePrebuilt: null
I/PackageManager(  455): Package com.android.chrome at /system/app/Chrome ignored: updated version 316309801 better than this 52214089
W/PackageManager(  455): Failed to parse /system/app/Chrome: null
I/PackageManager(  455): Package com.google.android.apps.cloudprint at /system/app/CloudPrint2 ignored: updated version 137 better than this 92
W/PackageManager(  455): Failed to parse /system/app/CloudPrint2: null
I/PackageManager(  455): Package com.google.android.deskclock at /system/app/DeskClockGoogle ignored: updated version 51002712 better than this 303
W/PackageManager(  455): Failed to parse /system/app/DeskClockGoogle: null
I/PackageManager(  455): Package com.google.android.apps.docs at /system/app/Drive ignored: updated version 73721044 better than this 44951044
W/PackageManager(  455): Failed to parse /system/app/Drive: null
I/PackageManager(  455): Package com.google.android.apps.docs.editors.docs at /system/app/EditorsDocs ignored: updated version 74120644 better than this 50320844
W/PackageManager(  455): Failed to parse /system/app/EditorsDocs: null
I/PackageManager(  455): Package com.google.android.apps.docs.editors.sheets at /system/app/EditorsSheets ignored: updated version 74120644 better than this 50320844
W/PackageManager(  455): Failed to parse /system/app/EditorsSheets: null
W/PackageParser(  455): No actions in intent filter at /system/app/FitnessPrebuilt/FitnessPrebuilt.apk Binary XML file line #73
I/PackageManager(  455): Package com.google.android.apps.fitness at /system/app/FitnessPrebuilt ignored: updated version 2017405136 better than this 2015108006
W/PackageManager(  455): Failed to parse /system/app/FitnessPrebuilt: null
W/PackageParser(  455): Unknown element under <manifest>: supports-gl-texture at /system/app/GoogleEarth/GoogleEarth.apk Binary XML file line #25
I/PackageManager(  455): Package com.google.earth at /system/app/GoogleEarth ignored: updated version 172701003 better than this 143022013
W/PackageManager(  455): Failed to parse /system/app/GoogleEarth: null
I/PackageManager(  455): Package com.google.android.launcher at /system/app/GoogleHome ignored: updated version 103001 better than this 101010
W/PackageManager(  455): Failed to parse /system/app/GoogleHome: null
I/PackageManager(  455): Package com.google.android.tts at /system/app/GoogleTTS ignored: updated version 210313031 better than this 210303122
W/PackageManager(  455): Failed to parse /system/app/GoogleTTS: null
I/PackageManager(  455): Package com.google.android.inputmethod.latin at /system/app/LatinImeGoogle ignored: updated version 26662210 better than this 21004
W/PackageManager(  455): Failed to parse /system/app/LatinImeGoogle: null
I/PackageManager(  455): Package com.google.android.apps.maps at /system/app/Maps ignored: updated version 964100233 better than this 903008023
W/PackageManager(  455): Failed to parse /system/app/Maps: null
I/PackageManager(  455): Package com.google.android.music at /system/app/Music2 ignored: updated version 63221 better than this 1809
W/PackageManager(  455): Failed to parse /system/app/Music2: null
W/PackageParser(  455): Problem in package /system/app/Newsstand/Newsstand.apk:
W/PackageParser(  455): Unknown element under <activity>: category at /system/app/Newsstand/Newsstand.apk Binary XML file line #74
W/PackageParser(  455): Problem in package /system/app/Newsstand/Newsstand.apk:
W/PackageParser(  455): Unknown element under <activity>: category at /system/app/Newsstand/Newsstand.apk Binary XML file line #75
I/PackageManager(  455): Package com.google.android.apps.magazines at /system/app/Newsstand ignored: updated version 2017080128 better than this 2014102707
W/PackageManager(  455): Failed to parse /system/app/Newsstand: null
W/PackageParser(  455): Unknown element under <activity-alias>: category at /system/app/Photos/Photos.apk Binary XML file line #84
I/PackageManager(  455): Package com.google.android.apps.photos at /system/app/Photos ignored: updated version 1908020 better than this 3
W/PackageManager(  455): Failed to parse /system/app/Photos: null
I/PackageManager(  455): Package com.google.android.play.games at /system/app/PlayGames ignored: updated version 52250046 better than this 22090000
W/PackageManager(  455): Failed to parse /system/app/PlayGames: null
I/PackageManager(  455): Package com.google.android.apps.plus at /system/app/PlusOne ignored: updated version 419043388 better than this 413630570
W/PackageManager(  455): Failed to parse /system/app/PlusOne: null
I/PackageManager(  455): Package com.google.android.gm.exchange at /system/app/PrebuiltExchange3Google ignored: updated version 508255 better than this 500065
W/PackageManager(  455): Failed to parse /system/app/PrebuiltExchange3Google: null
I/PackageManager(  455): Package com.google.android.gm at /system/app/PrebuiltGmail ignored: updated version 59709693 better than this 5020000
W/PackageManager(  455): Failed to parse /system/app/PrebuiltGmail: null
I/PackageManager(  455): Package com.google.android.keep at /system/app/PrebuiltKeep ignored: updated version 74110540 better than this 3003
W/PackageManager(  455): Failed to parse /system/app/PrebuiltKeep: null
I/PackageManager(  455): Package com.google.android.apps.genie.geniewidget at /system/app/PrebuiltNewsWeather ignored: updated version 33502543 better than this 2200200
W/PackageManager(  455): Failed to parse /system/app/PrebuiltNewsWeather: null
I/PackageManager(  455): Package com.google.android.videos at /system/app/Videos ignored: updated version 32800141 better than this 36160
W/PackageManager(  455): Failed to parse /system/app/Videos: null
I/PackageManager(  455): Package com.google.android.webview at /system/app/WebViewGoogle ignored: updated version 316309850 better than this 325502
W/PackageManager(  455): Failed to parse /system/app/WebViewGoogle: null
I/PackageManager(  455): Package com.google.android.youtube at /system/app/YouTube ignored: updated version 1227532430 better than this 100305110
W/PackageManager(  455): Failed to parse /system/app/YouTube: null
I/PackageManager(  455): Package com.google.android.marvin.talkback at /system/app/talkback ignored: updated version 50201006 better than this 40100004
W/PackageManager(  455): Failed to parse /system/app/talkback: null
W/PackageManager(  455): Package com.google.android.gms desires unavailable shared library org.apache.http.legacy; ignoring!
W/PackageManager(  455): Package com.google.android.gms desires unavailable shared library com.google.android.ble; ignoring!
W/PackageManager(  455): Package com.google.android.gms desires unavailable shared library com.google.android.wearable; ignoring!
I/PackageParser(  455): edu.umich.PowerTutor: compat added android.permission.WRITE_EXTERNAL_STORAGE
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.opera.browser-1/base.apk Binary XML file line #40
W/PackageParser(  455): Unknown element under <manifest>: meta-data at /data/app/com.mxtech.videoplayer.ad-1/base.apk Binary XML file line #79
W/PackageManager(  455): Package com.mxtech.videoplayer.ad desires unavailable shared library com.sec.android.app.multiwindow; ignoring!
W/PackageParser(  455): Unknown element under <manifest>: supports-gl-texture at /data/app/com.google.earth-2/base.apk Binary XML file line #70
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.android.chrome-2/base.apk Binary XML file line #27
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.android.chrome-2/base.apk Binary XML file line #37
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.android.chrome-2/base.apk Binary XML file line #38
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.android.chrome-2/base.apk Binary XML file line #39
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-m at /data/app/com.android.chrome-2/base.apk Binary XML file line #40
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.calendar-2/base.apk Binary XML file line #96
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.talk-1/base.apk Binary XML file line #215
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.gm-2/base.apk Binary XML file line #104
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.gm-2/base.apk Binary XML file line #108
W/PackageParser(  455): No actions in intent filter at /data/app/com.google.android.gm-2/base.apk Binary XML file line #677
W/PackageParser(  455): No actions in intent filter at /data/app/com.google.android.gm-2/base.apk Binary XML file line #1380
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.docs-1/base.apk Binary XML file line #24
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.docs-1/base.apk Binary XML file line #33
W/PackageParser(  455): Unknown element under <manifest>: meta-data at /data/app/com.google.android.apps.docs-1/base.apk Binary XML file line #107
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.music-2/base.apk Binary XML file line #26
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.magazines-1/base.apk Binary XML file line #65
W/PackageParser(  455): Unknown element under <manifest>: uses-permission-sdk-23 at /data/app/com.google.android.apps.magazines-1/base.apk Binary XML file line #66
