--------- beginning of system
I/Vold    (  150): Vold 2.1 (the revenge) firing up
D/VoldCmdListener(  150): cryptfs mountdefaultencrypted
D/Cryptfs (  150): crypt_ftr->fs_size = 23175168
I/Cryptfs (  150): Using scrypt with keymaster for cryptfs KDF
I/Cryptfs (  150): Signing safely-padded object
I/Cryptfs (  150): Enabling support for allow_discards in dmcrypt.
I/Cryptfs (  150): Password matches
D/Cryptfs (  150): test_mount_encrypted_fs(): Master key saved
I/Cryptfs (  150): keymaster version is 3
D/Cryptfs (  150): Password is default - restarting filesystem
D/Cryptfs (  150): unmounting /data succeeded
D/Cryptfs (  150): Just triggered post_fs_data
D/Cryptfs (  150): post_fs_data done
D/Cryptfs (  150): Just triggered restart_framework
I/InstallerConnection(  471): disconnecting...
I/SystemServer(  471): Entered the Android system server!
I/SystemServiceManager(  471): Starting com.android.server.pm.Installer
I/Installer(  471): Waiting for installd to be ready.
I/InstallerConnection(  471): connecting...
I/SystemServiceManager(  471): Starting com.android.server.am.ActivityManagerService$Lifecycle
I/ActivityManager(  471): Memory class: 192
I/IntentFirewall(  471): Read new rules (A:0 B:0 S:0)
D/AppOps  (  471): AppOpsService published
I/SystemServiceManager(  471): Starting com.android.server.power.PowerManagerService
I/SystemServiceManager(  471): Starting com.android.server.display.DisplayManagerService
I/SystemServiceManager(  471): Starting phase 100
I/DisplayManagerService(  471): Display device added: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:0", 1536 x 2048, 59.0 fps, supportedRefreshRates [59.0], density 320, 288.995 x 288.995 dpi, appVsyncOff 0, presDeadline 17949152, touch INTERNAL, rotation 0, type BUILT_IN, state UNKNOWN, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
I/SystemServer(  471): Package Manager
D/SELinuxMMAC(  471): Using policy file /system/etc/security/mac_permissions.xml
W/PackageManager(  471): Failed to parse /system/framework/arm: Missing base APK in /system/framework/arm
W/PackageManager(  471): Failed to parse /system/framework/arm64: Missing base APK in /system/framework/arm64
I/PackageManager(  471): Package com.google.android.apps.gcs at /system/priv-app/GCS ignored: updated version 2140 better than this 14
W/PackageManager(  471): Failed to parse /system/priv-app/GCS: null
W/PackageParser(  471): No actions in intent filter at /system/priv-app/GoogleContacts/GoogleContacts.apk Binary XML file line #363
I/PackageManager(  471): Package com.google.android.contacts at /system/priv-app/GoogleContacts ignored: updated version 2049783 better than this 10100
W/PackageManager(  471): Failed to parse /system/priv-app/GoogleContacts: null
I/PackageManager(  471): Package com.google.android.talk at /system/priv-app/Hangouts ignored: updated version 24502902 better than this 22228342
W/PackageManager(  471): Failed to parse /system/priv-app/Hangouts: null
