--------- beginning of crash
F/libc    (29974): Fatal signal 11 (SIGSEGV), code 1, fault addr 0x7f859072f4 in tid 29985 (Binder_2)
--------- beginning of system
I/PowerManagerService(  451): Waking up from sleep (uid 1000)...
I/DisplayPowerController(  451): Blocking screen on until initial contents have been drawn.
I/PowerUI.Notification(  627): dismissing low battery notification
I/DisplayManagerService(  451): Display device changed: DisplayDeviceInfo{"Built-in Screen": uniqueId="local:0", 1536 x 2048, 59.0 fps, supportedRefreshRates [59.0], density 320, 288.995 x 288.995 dpi, appVsyncOff 0, presDeadline 17949152, touch INTERNAL, rotation 0, type BUILT_IN, state ON, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
V/ActivityManager(  451): Display changed displayId=0
I/EntropyMixer(  451): Writing entropy...
I/DisplayPowerController(  451): Unblocked screen on after 191 ms
D/WifiService(  451): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@1937fbc8}
D/WifiService(  451): releaseWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@1937fbc8}
I/ActivityManager(  451): START u0 {flg=0x10000000 cmp=com.estrongs.android.pop/com.dianxinos.lazyswipe.EmptyActivity} from uid 10089 on display 0
V/WindowManager(  451): addAppToken: AppWindowToken{18432e99 token=Token{25507be0 ActivityRecord{1bcf25e3 u0 com.estrongs.android.pop/com.dianxinos.lazyswipe.EmptyActivity t3771}}} to stack=1 task=3771 at 0
V/ActivityManager(  451): Display changed displayId=0
W/ResourcesManager(17425): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager(17425): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
W/ResourcesManager(17425): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager(17425): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
V/WindowManager(  451): Adding window Window{32f1e972 u0 com.estrongs.android.pop/com.dianxinos.lazyswipe.EmptyActivity} at 3 of 17 (after Window{2bb582c9 u0 com.google.android.googlequicksearchbox/com.google.android.launcher.GEL})
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
W/ResourcesManager(17425): Asset path '/system/framework/com.android.media.remotedisplay.jar' does not exist or contains no resources.
W/ResourcesManager(17425): Asset path '/system/framework/com.android.location.provider.jar' does not exist or contains no resources.
E/ActivityThread(17425): Failed to find provider info for com.facebook.katana.provider.AttributionIdProvider
W/ActivityManager(  451): getTasks: caller 10089 does not hold GET_TASKS; limiting output
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=663, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): apparently satisfied.  currentScore=60
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=664, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): apparently satisfied.  currentScore=60
E/ActivityThread(17425): Failed to find provider info for com.facebook.katana.provider.AttributionIdProvider
W/ActivityManager(  451): getTasks: caller 10089 does not hold GET_TASKS; limiting output
I/ActivityManager(  451): Start proc 27757:com.android.vending/u0a18 for service com.android.vending/com.google.android.finsky.contentfilterui.ContentFiltersService
D/ConnectivityService(  451): listenForNetwork for NetworkRequest [ id=665, legacyType=-1, [ Capabilities: INTERNET&NOT_RESTRICTED&TRUSTED] ]
D/ConnectivityService(  451): handleRegisterNetworkRequest checking NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): apparently satisfied.  currentScore=60
I/ActivityManager(  451): Process .esfm (pid 17367) has died
W/ActivityManager(  451): Scheduling restart of crashed service com.estrongs.android.pop/com.estrongs.android.scanner.service.FileMonitorService in 1000ms
I/ProcessStatsService(  451): Prepared write state in 3ms
I/ActivityManager(  451): Start proc 27831:.esfm/u0a89 for service com.estrongs.android.pop/com.estrongs.android.scanner.service.FileMonitorService
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 56
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): Network NetworkAgentInfo [WIFI () - 126] was already satisfying request 1. No change.
D/ConnectivityService(  451): notifyType AVAILABLE for NetworkAgentInfo [WIFI () - 126]
D/ConnectivityService(  451): updateNetworkScore for NetworkAgentInfo [WIFI () - 126] to 60
D/ConnectivityService(  451): rematching NetworkAgentInfo [WIFI () - 126]
